Nome,CPF,Data de Nascimento,Idade,Rua,Numero,Bairro,Cidade,CEP,Telefone Celular
Vitória Gomes,013.259.647-43,18/11/1952,71,Alameda Peixoto,243,Dom Cabral,Moura do Galho,31668-088,+55 (021) 7508-9954
Erick da Cruz,017.862.934-04,30/03/1992,31,Núcleo Moura,7,Jardim Atlântico,Sales Paulista,72239326,81 7720-1503
Maria Fernanda Moreira,023.819.547-32,25/05/1997,26,Largo da Cruz,8,São Salvador,da Costa de Aragão,4244615,0300-966-2484
Maria Fernanda Moreira,023.819.547-32,25/05/1997,26,Trevo Souza,54,Jardim Guanabara,Castro,48179340,+55 41 6242 9896
Maria Fernanda Moreira,023.819.547-32,25/05/1997,26,Aeroporto Kamilly Castro,44,Copacabana,Farias,70072726,31 2050-9749
Maria Fernanda Moreira,023.819.547-32,25/05/1997,26,Estação Pereira,30,Castanheira,Ribeiro,01106-438,0800-520-8250
Pietra da Paz,029.816.754-94,10/10/2000,23,Setor Isaac Nunes,634,Paraíso,Aragão Alegre,24773-636,0800-093-4358
Amanda Castro,036.598.714-00,29/07/1992,31,Fazenda Juan Alves,64,Vila Primeiro De Maio,Vieira,12049301,(071) 3035 5770
Maria Fernanda Lopes,037.164.528-07,08/12/1944,79,Parque Moraes,32,Salgado Filho,Moreira,73931-969,(011) 7004 7265
Luana Ferreira,037.946.152-80,10/09/1959,64,Colônia Pedro Henrique Santos,53,Álvaro Camargos,Caldeira do Sul,06829-155,+55 11 8940 8905
Erick Lima,041.736.985-93,18/03/1991,32,Aeroporto Santos,45,Sion,Moura,73652528,+55 (071) 0712-9999
Júlia da Cruz,042.956.831-24,08/11/1983,40,Quadra Ana Sophia Araújo,2,Vista Alegre,da Mata,76364373,0300-670-6343
Dra. Lívia Castro,047.915.386-84,13/07/1989,34,Ladeira Miguel Santos,97,Taquaril,da Luz do Sul,60362-666,(031) 1977-3432
Sabrina Jesus,048.579.162-58,18/12/1992,31,Quadra de Aragão,86,Suzana,Vieira de Pinto,190762,(071) 0150-0733
Eduardo Costela,048.592.167-76,17/04/2001,22,Distrito Freitas,97,Mirante,Cunha,17282396,71 3962 9521
Juliana Sales,049.128.673-22,22/09/1986,37,Feira Cardoso,313,Buraco Quente,Alves de Oliveira,53894-306,0300 283 9565
Lucas Gabriel Costa,057.392.148-23,21/10/2003,20,Viaduto Ribeiro,18,Mariquinhas,Melo,40263283,(031) 5616-8897
Ana Duarte,057.642.319-06,31/01/1994,29,Praia Gonçalves,7,Nova Cachoeirinha,Lopes,23645924,+55 51 2489 1153
Vitor Pinto,058.469.317-66,02/10/1949,74,Travessa de Alves,72,Vila Havaí,Ferreira,80478699,+55 21 3239 3755
Daniel Nunes,061.795.238-86,29/07/1996,27,Alameda Luana Rocha,31,Conjunto Taquaril,Lopes,97956-775,31 0080 4260
Carolina Rodrigues,062.479.158-02,14/07/1953,70,Estrada de Souza,29,Conjunto Capitão Eduardo,Peixoto,80558797,71 6481-6192
Sra. Maria Melo,062.718.549-58,06/11/1960,63,Residencial da Rocha,631,Pompéia,da Cruz das Flores,33473-059,(061) 2901 7665
Natália Freitas,064.752.198-94,16/04/1999,24,Distrito de Alves,50,Grotinha,Silveira do Oeste,99140153,(041) 2848-4005
Enzo Gabriel Nunes,067.243.815-17,04/10/1982,41,Colônia Alexia Campos,234,Barro Preto,Freitas de Barros,75597-412,+55 84 4184 9547
João Felipe Melo,069.475.138-39,29/03/2005,18,Loteamento de Nunes,61,Conjunto Bonsucesso,Pinto Alegre,30931249,(011) 7240-0249
Nathan da Paz,072.135.649-43,16/03/1958,65,Alameda Sales,806,Beija Flor,Martins,57042-697,51 2426 7679
João Vitor das Neves,074.569.132-34,04/07/2003,20,Loteamento Renan Viana,867,Manacas,Nogueira,01929-737,+55 11 3021 2093
Maria Luiza Alves,079.624.513-43,04/08/1944,79,Loteamento de Souza,90,Vila Nova Cachoeirinha 3ª Seção,da Cruz,36342227,+55 11 3261-2154
Gabriela Cavalcanti,083.165.724-35,01/07/2004,19,Área Fernandes,4,Bonfim,da Conceição,73858-083,+55 61 5733-1581
Gabrielly Aragão,084.152.369-05,25/02/1948,75,Condomínio Ian Caldeira,72,Santa Helena,Ramos,63161-112,+55 61 1828 2572
Vitor Hugo Azevedo,084.276.315-53,31/08/1997,26,Residencial de da Cunha,37,Flamengo,Farias das Pedras,97715-476,+55 (061) 3949-4430
Yasmin Campos,084.762.159-67,06/08/1949,74,Campo Cunha,11,Fernão Dias,Vieira das Pedras,31996032,71 8905-6447
João Lucas Viana,086.594.237-47,10/08/1947,76,Núcleo Gabriel Oliveira,9,Túnel De Ibirité,Souza,31979040,+55 (084) 2301-0566
Murilo Moraes,086.741.953-93,18/10/1961,62,Distrito de Pinto,36,Engenho Nogueira,da Mata,53284087,0800 171 3728
Sr. Bernardo Santos,089.346.715-48,11/11/1956,67,Praia João Miguel Martins,166,Novo Tupi,Duarte dos Dourados,12591-516,+55 71 6584-4510
Gabrielly Silva,091.568.742-94,15/11/1987,36,Vale de da Mota,160,Guarani,da Costa da Prata,99920760,11 1974-1640
Brenda Costa,093.615.824-70,10/12/1986,37,Quadra Nicole Mendes,917,Brasil Industrial,Melo,7951149,+55 (021) 0682-6568
Vicente da Cunha,098.162.473-13,23/10/1992,31,Avenida Mirella Dias,99,Glória,Aragão,62863903,0900 895 4037
Luiza Rezende,104.732.869-04,25/01/1987,36,Vereda Luiz Gustavo Teixeira,9,Jardim Atlântico,da Luz,64067-949,+55 84 2358 5145
Augusto Fogaça,106.395.728-12,26/11/1970,53,Trevo João Guilherme Jesus,44,Esperança,Nunes,36867773,(041) 8362-4294
Julia Porto,106.972.584-67,14/12/1999,24,Área Helena Gomes,18,Vila Sesc,da Mata Alegre,35188868,31 8977-9639
Joaquim Aragão,109.476.328-40,31/12/1978,45,Recanto Vitor Hugo da Conceição,82,Vila São Geraldo,Silva,8957261,+55 31 3237 0120
Vinicius Castro,120.564.379-61,24/11/1955,68,Aeroporto da Rosa,6,Vila São Geraldo,das Neves,11161-150,+55 84 0883 8152
Ana Lívia Ramos,120.754.386-17,20/08/1990,33,Núcleo de Silveira,8,Vila Pinho,Castro,80511-057,+55 (031) 6364 6040
Olivia da Cunha,120.875.439-41,01/01/1999,25,Colônia Henrique Ramos,6,Morro Dos Macacos,Monteiro da Prata,8677995,+55 (081) 8646-1320
Maria Cecília das Neves,120.984.765-58,31/08/1981,42,Alameda de Almeida,959,Vila Sumaré,Novaes,71060-502,41 8692-4373
Benjamin da Cunha,124.065.398-06,14/01/1945,78,Sítio Nicolas Campos,749,Atila De Paiva,Barros de Martins,41762731,41 7226 7804
Clarice Carvalho,125.736.904-07,16/04/1963,60,Loteamento de Castro,1,Vila São Gabriel Jacui,Nascimento,92191-350,0500 059 8961
Diego Correia,126.039.845-51,27/04/1994,29,Conjunto de Silva,48,Vila Pilar,Porto,25694743,0500 865 0231
Dra. Maria Fernanda Freitas,126.834.079-04,27/09/1979,44,Setor Rodrigues,37,Novo Tupi,Porto,63932719,84 9970-1165
Sr. Ryan Ramos,128.695.470-30,28/05/1959,64,Jardim Calebe Freitas,845,Tiradentes,Moura do Galho,57105004,+55 51 0908 3652
Sr. Cauê Aragão,130.247.685-80,27/05/1970,53,Quadra Duarte,9,São Damião,Silva,90962-083,61 0115-5836
Rafael Cardoso,130.872.594-97,29/11/2002,21,Viela Jesus,43,Chácara Leonina,Caldeira,72914-631,+55 84 6205 6764
Joana Costela,135.046.827-44,01/04/1946,77,Lago Stella Sales,60,Liberdade,Campos da Praia,4780682,(031) 7617-0941
Raquel Oliveira,135.962.407-43,29/11/1966,57,Favela Maria Cecília Castro,69,Vila Copacabana,Castro,03810-165,+55 81 3450-8812
Bárbara Moreira,137.809.524-32,11/09/1961,62,Núcleo Melo,75,Nova Floresta,da Cunha do Amparo,29474-362,84 0973-1476
João Felipe da Mota,138.976.240-87,13/05/1983,40,Recanto Theo Souza,99,São Damião,Caldeira da Serra,72416516,+55 (061) 2332-2600
Evelyn Carvalho,140.295.387-97,30/07/1989,34,Conjunto Clarice Costela,79,Vila Das Oliveiras,Rodrigues,62839-433,+55 (051) 8883 5225
Sra. Yasmin Aragão,142.738.690-04,09/01/1965,58,Condomínio Mariane Oliveira,80,Tupi A,Mendes das Flores,35231140,+55 (071) 7573-8980
